SDSS_ID continuum continuum_lines powerlaw_exp powerlaw_norm
0384-51821-0372 4.629903385350427e-13 4.979955029585416e-13 -1.1177070972118592 60028.52886186393
0383-51818-0518 1.2597611372317119e-12 1.3159640917877348e-12 -1.3672893809741355 1145580.5128723837
0383-51818-0599 6.34507555018763e-13 6.548393065363215e-13 -1.3796403904931784 635066.9224929232
0383-51818-0508 6.201021576201956e-13 6.395994934628472e-13 -1.5614871468431564 2533172.3464255794
0380-51792-0514 3.8223845183210773e-13 4.167265667867017e-13 -1.365958976138326 344020.7937858757
0381-51811-0485 1.3759682146766719e-12 1.4586068652163317e-12 -1.6078095701125137 8030026.069194735
0382-51816-0141 5.583237520196797e-13 5.82639759688151e-13 -1.38465533425143 580995.0574604332
0381-51811-0593 2.502119274827867e-12 2.6824207789630924e-12 -1.485309884082012 5677544.763420835
0679-52177-0185 1.9683932057308664e-13 2.0404402466131486e-13 -1.2381076331908487 65470.43897715549
0380-51792-0036 2.757146892766234e-12 2.9004608238449202e-12 -1.3197781317303663 1733037.6786013513
0382-51816-0356 5.519518522483489e-13 5.769125567474921e-13 -1.3224721546585139 354284.3137280737
0381-51811-0066 9.810797582479477e-13 1.0175350649430013e-12 -1.494330466308779 2386897.144916845
0382-51816-0184 1.891074849449921e-12 2.0141397407735976e-12 -1.6176825624841045 11906880.783299766
0380-51792-0211 2.631317907084575e-13 2.779086617839204e-13 -1.0817538053793707 25727.54238618397
0678-52884-0432 5.141314858732809e-13 5.375377480026638e-13 -1.1489373537177674 85148.51184832402
0380-51792-0165 5.768493270038737e-13 6.01767999339388e-13 -1.293383871894568 295241.420720479
0380-51792-0469 1.495679576341918e-12 1.6105925647435297e-12 -1.6671766229229033 13774496.910679754
0382-51816-0534 3.489666771071295e-13 3.711376839913876e-13 -1.2337654808905039 112200.82119807559
0381-51811-0349 3.9068981221468975e-13 4.0985856133001003e-13 -0.43219570922640616 217.52069686556575
0380-51792-0479 9.043423444195178e-13 9.783138231977103e-13 -0.6971330596994466 4210.810025376807
0380-51792-0152 2.9783642179261735e-13 3.124762776461865e-13 -0.5134352538434429 318.7577752702822
0380-51792-0150 9.421524450489712e-13 9.917123876516138e-13 -1.2777026717508804 426753.3241240367
0380-51792-0009 1.9263180921560772e-12 2.054546190376248e-12 -1.3909180655030697 2104355.594469441
0382-51816-0101 1.8711128159112853e-12 1.945207969480143e-12 -1.341755784084069 1395334.1678542942
0679-52177-0005 2.3768944069575943e-13 2.6525773694176146e-13 -1.5247291727273824 731293.4040896681
0380-51792-0518 3.8403943484379403e-13 4.076480697635768e-13 -1.2121642869398481 104307.31211905138
0382-51816-0308 2.9957825286341173e-13 3.1266629197534796e-13 -1.5308878665566454 966568.5126814304
0382-51816-0173 3.3633443522746047e-12 3.5138828766624614e-12 -1.7837867650343302 75663861.97037107
0382-51816-0389 3.737791910163841e-12 3.905080353869129e-12 -0.9444923134002986 123966.08175044882
0382-51816-0094 5.287995742384154e-13 5.725006608140489e-13 -1.38390222397356 547065.3028051092
0380-51792-0126 7.157237784610263e-13 7.582433538875503e-13 -1.1939487361961667 168595.64823283505
0380-51792-0020 5.194228767095451e-13 5.458154842776067e-13 -1.325330555122526 340901.38595765684
0382-51816-0481 6.05287247662249e-13 6.377286372961113e-13 -1.441390782829343 977801.095179927
0679-52177-0234 2.3622127966487406e-12 2.4886913703259735e-12 -1.931654158585749 164021279.2433618
0678-52884-0418 4.031101258757341e-13 4.2881564931383626e-13 -1.4446090776886504 667627.8826477047
0381-51811-0229 4.490406428248874e-13 5.031156699400384e-13 -0.6421813025065886 1348.257335432767
0677-52606-0092 5.828084304289255e-12 6.237568510437172e-12 -1.4896376564048357 13674313.13865555
1096-52974-0479 7.619694982953863e-13 7.842070743064756e-13 -0.8640170067977139 13370.250879099272
